,Precio,Direccion,Barrio
1376,USD 55.000,Figueroa Alcorta al 200,"Centro, Córdoba"
1377,USD 360.000,,"La Reserva, Córdoba"
1378,USD 61.500,Fructuoso Rivera 400,"Güemes, Córdoba"
1379,USD 230.000,Pio Collivadino al 4200,"Cerro Chico, Córdoba"
1380,USD 69.000,Curumalan 593,"Las Dalias, Córdoba"
1381,USD 115.000,Agustín Argibay 4500,"Colinas del Cerro, Córdoba"
1382,USD 125.000,Cañada de Gomez S/N,"Manantiales, Córdoba"
1383,USD 420.000,Milenica Rodriguez del Busto,"Alto Verde, Córdoba"
1384,USD 59.000,Chacabuco 249,"Centro, Córdoba"
1385,USD 350.000,Santa Marta al 3700,"Jardín Espinosa, Córdoba"
1386,USD 115.000,,"San Martín, Córdoba"
1387,USD 830.000,,"Lomas de los Carolinos, Córdoba"
1388,USD 135.000,Huiliches 781,"Portales del Sur, Parque Latino"
1389,USD 275.000,,"Siete Soles Naturaleza Urbana, Córdoba"
1390,USD 56.000,Av Velez sarfield 1802,"Nueva Córdoba, Córdoba"
1391,USD 55.500,Pasaje Valtodano 1300,"Nueva Córdoba, Córdoba"
1392,USD 62.000,27 de abril 2037,"Alberdi, Córdoba"
1393,USD 37.000,AVENIDA COLÓN 1881,"Alberdi, Córdoba"
1394,USD 40.000,Monseñor Miguel de Andrea 253,"Alto Alberdi, Córdoba"
1395,USD 55.000,Rosario de Santa Fe 1573,"General Paz, Córdoba"
1396,USD 85.000,,"Nobu Town, Córdoba"
1397,USD 48.900,Francisco N de Laprida 900,"Observatorio, Córdoba"
1398,USD 200.000,VELEZ SARSFIELD 372,"Centro, Córdoba"
1399,USD 115.000,Padre Luchesse 4100,"Villa Allende Parque, Córdoba"
1400,USD 175.000,Barranca yaco 2020,"Cerro de las Rosas, Córdoba"
1401,USD 180.000,Padre Luis Galeano 950 - Opera,"Escobar, Córdoba"
1402,USD 105.000,Bv. San Juan y Arturo M. Bass,"Centro, Córdoba"
1403,USD 239.000,OBISPO TREJO 1268,"Nueva Córdoba, Córdoba"
1404,USD 95.000,Ramón Ocampo 2200,"Rivadavia, Córdoba"
1405,USD 345.000,Bº Los Cielos,"Valle Escondido , Córdoba"
1406,USD 55.000,Rosario de Santa Fe esquina Bahía Blanca,"General Paz, Córdoba"
1407,USD 108.000,Av. La Donosa 0,"DOCTA, Córdoba"
1408,USD 95.000,La Padula 813,"Parque Vélez Sársfield, Córdoba"
1409,USD 120.000,Pedro Vella 439,"Colinas de Vélez Sársfield, Córdoba"
1410,USD 45.000,Duarte Quiros 1200 4°,"Alberdi, Córdoba"
1411,USD 47.000,Av Colon 4875,"Teodoro Felds, Córdoba"
1412,$ 132.500,,"Nueva Córdoba, Córdoba"
1413,USD 147.000,Turrado Juarez N° al 2000,"Colinas de Vélez Sársfield, Córdoba"
1414,$ 370.000,av Valparaiso 4971,"La Luisita, Córdoba"
1415,USD 47.000,Corrientes 100,"Centro, Córdoba"
1416,USD 420.000,adoratrices 290,"Córdoba, Córdoba"
1417,USD 56.000,VELEZ SARFIELD 1802,"Colinas de Vélez Sársfield, Córdoba"
1418,USD 60.000,Riga 4100,"Córdoba, Córdoba"
1419,USD 37.000,Neuquen 79 Barrio Alberdi ,"Alberdi, Córdoba"
1420,USD 160.000,,"Nueva Córdoba, Córdoba"
1421,USD 78,,"Centro, Córdoba"
1422,USD 169.000,Obispo Malvar y Pinto 1756,"Talleres Oeste, Córdoba"
1423,USD 198.000,Gay Lussac 7400,"Villa Belgrano, Córdoba"
1424,USD 180.000,Greenville 2,"Greenville II, Córdoba"
1425,$ 70.000,Francisco N de Laprida,"Güemes, Córdoba"
1426,USD 93.000,Docta Etapa - Etapa 1 - Barrio Cerrado,"DOCTA, Córdoba"
1427,USD 200.000,,"Villa Belgrano, Córdoba"
1428,USD 217.000,boulevard chacabuco 625,"Nueva Córdoba, Córdoba"
1429,USD 115.000,"docta, Córdoba, Córdoba, Argentina.","DOCTA, Córdoba"
1430,USD 115.000,Bv. Illia al 400,"Nueva Córdoba, Córdoba"
1431,USD 72.000,Paraná al 400,"Nueva Córdoba, Córdoba"
1432,USD 400.000,Argañaras y Murguia 3400,"Córdoba, Córdoba"
1433,USD 49.400,Av. Colón al 3000,"Alberdi, Córdoba"
1434,USD 150.000,yrigoyen 165,"Nueva Córdoba, Córdoba"
1435,USD 51.500,Av Colon 6200,"Chateau Los Robles, Córdoba"
1436,USD 82.000,Avellaneda 190,"Centro, Córdoba"
1437,USD 85.000,PASAJE EMILIO HUESPE 75,"Centro, Córdoba"
1438,USD 46.000,Duarte Quiros 2405,"Alto Alberdi, Córdoba"
1439,USD 85.000,Av. Colón 4933,"Teodoro Felds, Córdoba"
1440,USD 62.500,Hipolito Yrigoyen 413,"Nueva Córdoba, Córdoba"
1441,USD 119.000,Yrigoyen 500,"Nueva Córdoba, Córdoba"
1442,USD 220.000,Av. Recta Martinolli 8100,"Córdoba, Córdoba"
1443,USD 17.000,Colombres 2835,"San Martín, Córdoba"
1444,USD 600.000,Padre Luis Galeano 949,"Escobar, Córdoba"
1445,USD 255.000,Nazaret 3273,"Las Rosas, Córdoba"
1446,USD 185.000,Urrutia 522,"Alto Alberdi, Córdoba"
