,Precio,Direccion,Barrio
6583,USD 175.000,Poeta Lugones ,"Nueva Córdoba, Córdoba"
6584,USD 160.000,Villa Cabrera,"Villa Cabrera, Córdoba"
6585,USD 1,Claros DEL Bosque,"Claros del Bosque, Córdoba"
6586,USD 150.000,Prudencio Bustos al 100,"Córdoba, Córdoba"
6587,Consultar precio,Claros DEL Bosque 3 Dorm,"Claros del Bosque, Córdoba"
6588,USD 680.000,Altos del Chateau,"Altos del Chateau, Córdoba"
6589,USD 550.000,Jardín Inglés Central,"Jardín Inglés, Valle Escondido "
6590,USD 500.000,Las Delicias Country,"Córdoba, Córdoba"
6591,USD 500.000,Lomas DE LA Carolina,"Lomas de la Carolina, Córdoba"
6592,USD 56.500,Bv Mitre 517,"Centro, Córdoba"
6593,USD 220.000,Malagueño 1074,"Jardín, Córdoba"
6594,USD 18.000,General Deheza 900,"General Pueyrredón, Córdoba"
6595,USD 33.900,General Deheza 900 3°,"General Pueyrredón, Córdoba"
6596,USD 17.500,General Román Deheza 900 3°,"General Pueyrredón, Córdoba"
6597,USD 38.000,AVDA OLMOS 279,"Centro, Córdoba"
6598,USD 50.000,"PARANA 555 , Córdoba","Nueva Córdoba, Córdoba"
6599,USD 220.000,Mariano Fragueiro 1100,"Cofico, Córdoba"
6600,USD 158.000,Baquero Lascano 3253,"Tejas II, Córdoba"
6601,$ 105.000,manzana 20 lote 24A,"Manantiales, Córdoba"
6602,USD 80.000,Avenida del Piamonte 1005,"Barrio Privado Chateau Carreras, Córdoba"
6603,USD 45.000,Av. Colon 2738,"Alto Alberdi, Córdoba"
6604,$ 60.000,Guillermo Lewis 6071,"Córdoba, Córdoba"
6605,USD 270.000,Milenica IV Cmno Carlos Paz,"Centro, Córdoba"
6606,USD 72.000,Bv. San Juan y Arturo M. Bas,"Centro, Córdoba"
6607,USD 140.000,Prados de Manantiales,"Prados de Manantiales, Córdoba"
6608,USD 120.000,Avenida Nores Martinez Casagrande,"Córdoba, Córdoba"
6609,USD 120.000,Sin Nombre S/n Lote / N° 0,"Costas de Manantiales, Córdoba"
6610,USD 180.000,Bv San Juan al 200,"Nueva Córdoba, Córdoba"
